timestamp,src_ip,dst_ip,protocol,packet_size,src_port,dst_port,flags,Info,label
0.046575,192.168.1.62,43.98.77.104,TCP,60,17153,4697,SYN,Port scan attempt,attack
0.283286,192.168.1.177,192.168.1.158,HTTPS,379,27787,311,RST,Normal communication,benign
0.303525,192.168.1.22,192.168.1.146,HTTPS,155,25081,613,ACK,Normal communication,benign
0.031142,192.168.1.35,192.168.1.148,SSH,92,2327,22,,Repeated login attempts,attack
0.030224,192.168.1.145,192.168.1.95,FTP,499,13202,63,,Normal communication,benign
0.1,192.168.1.10,10.0.0.1,TCP,60,1234,80,S,SYN Flood attempt,attack
0.2,192.168.1.10,10.0.0.1,TCP,60,1235,80,S,SYN Flood attempt,attack
0.3,192.168.1.10,10.0.0.1,TCP,60,1236,80,S,SYN Flood attempt,attack
0.4,192.168.1.10,10.0.0.1,TCP,60,1237,80,S,SYN Flood attempt,attack
0.5,192.168.1.10,10.0.0.1,TCP,60,1238,80,S,SYN Flood attempt,attack
0.6,192.168.1.20,10.0.0.1,TCP,60,2000,21,S,Port scan attempt,attack
0.7,192.168.1.20,10.0.0.1,TCP,60,2001,22,S,Port scan attempt,attack
0.8,192.168.1.20,10.0.0.1,TCP,60,2002,23,S,Port scan attempt,attack
0.9,192.168.1.20,10.0.0.1,TCP,60,2003,25,S,Port scan attempt,attack
1.0,192.168.1.20,10.0.0.1,TCP,60,2004,80,S,Port scan attempt,attack
1.1,192.168.1.30,10.0.0.2,SSH,100,3000,22,S,Repeated login attempts,attack
1.2,192.168.1.30,10.0.0.2,SSH,100,3001,22,S,Repeated login attempts,attack
1.3,192.168.1.30,10.0.0.2,SSH,100,3002,22,S,Repeated login attempts,attack
1.4,192.168.1.30,10.0.0.2,SSH,100,3003,22,S,Repeated login attempts,attack
1.5,192.168.1.40,10.0.0.3,UDP,1500,4000,53,,Flood traffic,attack
1.6,192.168.1.40,10.0.0.3,UDP,1500,4001,53,,Flood traffic,attack
1.7,192.168.1.40,10.0.0.3,UDP,1500,4002,53,,Flood traffic,attack
1.8,192.168.1.40,10.0.0.3,UDP,1500,4003,53,,Flood traffic,attack
0.431746,192.168.1.122,192.168.1.223,FTP,424,54318,604,SYN-ACK,Normal communication,benign
0.054635,192.168.1.96,192.168.1.171,HTTPS,889,28852,366,PSH,Normal communication,benign
0.055685,192.168.1.74,114.1.211.141,FTP,734,57052,864,SYN,Normal communication,benign
0.03418,192.168.1.36,192.168.1.220,TCP,311,12653,278,SYN-ACK,Normal communication,benign
0.233794,129.102.241.252,192.168.1.112,TCP,60,64059,83,RST,Connection reset flood,attack
0.447366,192.168.1.119,135.200.15.90,TCP,60,15463,565,SYN,Port scan attempt,attack
0.083009,141.148.213.198,192.168.1.55,TCP,60,43403,429,RST,Connection reset flood,attack
0.018216,192.168.1.157,192.168.1.179,TCP,788,43889,767,PSH,Normal communication,benign
0.09204,192.168.1.88,192.168.1.247,FTP,873,3726,560,,Normal communication,benign
0.360489,89.19.242.145,192.168.1.190,UDP,1454,37328,685,,Flood traffic,attack
0.115779,192.168.1.48,112.48.27.135,DNS,453,5554,53,,Suspicious DNS payload,attack
0.179157,192.168.1.109,195.147.162.44,SSH,918,18784,156,ACK,Normal communication,benign
0.392681,192.168.1.194,105.33.125.125,FTP,471,63310,468,ACK,Normal communication,benign
0.077971,192.168.1.197,192.168.1.42,SSH,110,15824,22,,Repeated login attempts,attack
0.238221,192.168.1.30,192.168.1.56,SSH,129,27736,22,,Repeated login attempts,attack
0.111268,192.168.1.187,85.116.119.162,UDP,105,14393,392,ACK,Normal communication,benign
0.3226,21.161.94.124,192.168.1.37,TCP,60,26715,280,RST,Connection reset flood,attack
0.175109,192.168.1.23,176.112.236.162,TCP,1187,10308,318,ACK,Normal communication,benign
0.053402,192.168.1.210,190.28.121.131,DNS,446,12924,53,,Suspicious DNS payload,attack
0.211411,192.168.1.168,192.168.1.115,DNS,582,45960,776,PSH,Normal communication,benign
0.456053,192.168.1.2,192.168.1.200,SSH,130,40392,22,,Repeated login attempts,attack
0.072471,192.168.1.67,192.168.1.31,SSH,142,26934,22,,Repeated login attempts,attack
0.01388,192.168.1.197,191.44.156.189,TCP,60,46157,7293,SYN,Port scan attempt,attack
0.447134,192.168.1.82,192.168.1.230,FTP,1164,44084,762,ACK,Normal communication,benign
0.052602,192.168.1.138,192.168.1.55,FTP,832,27620,188,RST,Normal communication,benign
0.433194,192.168.1.78,193.249.158.76,DNS,772,64019,318,RST,Normal communication,benign
0.032867,192.168.1.101,90.206.33.123,TCP,3435,50111,443,PSH,Large outbound data,attack
0.399082,192.168.1.153,144.62.149.223,TCP,60,23425,1021,SYN,Port scan attempt,attack
0.103536,192.168.1.253,192.168.1.166,TCP,1074,54692,717,SYN,Normal communication,benign
0.41353,192.168.1.87,88.148.60.138,TCP,60,55775,793,SYN,Port scan attempt,attack
0.284846,192.168.1.211,192.168.1.50,SSH,141,38341,22,,Repeated login attempts,attack
0.352408,192.168.1.225,192.168.1.5,DNS,929,44101,587,SYN,Normal communication,benign
0.114902,192.168.1.15,192.226.73.76,HTTP,824,38570,148,,Normal communication,benign
0.072801,192.168.1.120,198.135.3.55,TCP,60,24822,2227,SYN,Port scan attempt,attack
0.019415,192.168.1.62,192.168.1.179,SSH,1003,22260,813,SYN-ACK,Normal communication,benign
0.426099,192.168.1.68,192.168.1.229,SSH,122,55095,22,,Repeated login attempts,attack
0.109466,108.151.244.144,192.168.1.84,UDP,1047,14664,990,,Flood traffic,attack
0.455891,192.168.1.104,192.168.1.138,DNS,215,65279,164,PSH,Normal communication,benign
0.46606,192.168.1.74,192.168.1.224,SSH,99,21552,22,,Repeated login attempts,attack
0.219455,45.68.41.247,192.168.1.194,TCP,60,50121,18,RST,Connection reset flood,attack
0.010322,192.168.1.105,192.168.1.234,FTP,1039,32787,312,SYN,Normal communication,benign
0.268787,192.168.1.29,99.105.112.77,TCP,3415,33494,443,PSH,Large outbound data,attack
0.032721,192.168.1.80,192.168.1.91,SSH,113,2519,22,,Repeated login attempts,attack
0.38898,181.247.200.232,192.168.1.162,UDP,1577,20474,880,,Flood traffic,attack
0.038576,192.168.1.230,81.161.65.88,DNS,860,31787,253,SYN,Normal communication,benign
0.3575,192.168.1.154,99.133.57.210,DNS,1150,14222,879,RST,Normal communication,benign
0.001015,192.168.1.199,105.179.215.194,UDP,1064,36775,877,SYN-ACK,Normal communication,benign
0.072108,192.168.1.118,192.168.1.224,DNS,734,37512,359,,Normal communication,benign
0.273484,192.168.1.46,192.168.1.67,HTTPS,980,13159,57,SYN,Normal communication,benign
0.037007,152.128.211.229,192.168.1.207,UDP,1986,18110,980,,Flood traffic,attack
0.049058,192.168.1.142,192.168.1.248,SSH,119,17904,22,,Repeated login attempts,attack
0.475897,192.168.1.208,31.67.209.188,UDP,351,64448,726,,Normal communication,benign
0.394294,192.168.1.113,82.180.145.35,HTTPS,911,24862,5,SYN-ACK,Normal communication,benign
0.172769,192.168.1.43,192.168.1.13,SSH,120,9621,22,,Repeated login attempts,attack
0.320544,192.168.1.211,119.47.122.75,TCP,60,30011,8580,SYN,Port scan attempt,attack
0.104784,192.168.1.115,192.168.1.134,SSH,126,28412,22,,Repeated login attempts,attack
0.062883,192.168.1.238,192.168.1.33,DNS,302,22801,80,FIN,Normal communication,benign
